date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:04	46488/46488	---M--	200	added ('OK')	application/font-woff	etag:%225075b170c73337c2cfb9862cef95a0554fea36dc%22	https://use.typekit.net/af/8f4e31/0000000000000000000132e3/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/8f4e31/0000000000000000000132e3/27/d04c7	(from https://use.typekit.net/njp4uhl.css)
23:51:04	108032/108032	---M-Z	200	added ('OK')	font/opentype	etag:W/%225075b170c73337c2cfb9862cef95a0554fea36dc%22	https://use.typekit.net/af/8f4e31/0000000000000000000132e3/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/8f4e31/0000000000000000000132e3/27/a04c7	(from https://use.typekit.net/njp4uhl.css)
23:51:04	37232/37232	---M--	200	added ('OK')	application/font-woff2	etag:%22fafe51b549c619230b1493d11dd6433ee9d228f9%22	https://use.typekit.net/af/383ab4/0000000000000000000132e4/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/383ab4/0000000000000000000132e4/27/l3fe8	(from https://use.typekit.net/njp4uhl.css)
23:51:04	44332/44332	---M--	200	added ('OK')	application/font-woff	etag:%22fafe51b549c619230b1493d11dd6433ee9d228f9%22	https://use.typekit.net/af/383ab4/0000000000000000000132e4/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/383ab4/0000000000000000000132e4/27/d3fe8	(from https://use.typekit.net/njp4uhl.css)
23:51:05	101416/101416	---M-Z	200	added ('OK')	font/opentype	etag:W/%22fafe51b549c619230b1493d11dd6433ee9d228f9%22	https://use.typekit.net/af/383ab4/0000000000000000000132e4/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i7&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/383ab4/0000000000000000000132e4/27/a3fe8	(from https://use.typekit.net/njp4uhl.css)
23:51:05	39020/39020	---M--	200	added ('OK')	application/font-woff2	etag:%228b30cdf11b4b607a3adcc6d9653b7cfecd1f6b8e%22	https://use.typekit.net/af/a96fa9/000000000000000077359de4/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n1&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/a96fa9/000000000000000077359de4/30/l04b5	(from https://use.typekit.net/njp4uhl.css)
23:51:05	40776/40776	---M--	200	added ('OK')	application/font-woff	etag:%228b30cdf11b4b607a3adcc6d9653b7cfecd1f6b8e%22	https://use.typekit.net/af/a96fa9/000000000000000077359de4/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n1&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/a96fa9/000000000000000077359de4/30/d04b5	(from https://use.typekit.net/njp4uhl.css)
23:51:05	90528/90528	---M-Z	200	added ('OK')	font/opentype	etag:W/%228b30cdf11b4b607a3adcc6d9653b7cfecd1f6b8e%22	https://use.typekit.net/af/a96fa9/000000000000000077359de4/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n1&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/a96fa9/000000000000000077359de4/30/a04b5	(from https://use.typekit.net/njp4uhl.css)
23:51:06	37724/37724	---M--	200	added ('OK')	application/font-woff2	etag:%2226be08e89697411e46bad80ec7f47c52ad6bfd6f%22	https://use.typekit.net/af/9270e6/000000000000000077359dec/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i1&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/9270e6/000000000000000077359dec/30/l4ddc	(from https://use.typekit.net/njp4uhl.css)
23:51:06	39616/39616	---M--	200	added ('OK')	application/font-woff	etag:%2226be08e89697411e46bad80ec7f47c52ad6bfd6f%22	https://use.typekit.net/af/9270e6/000000000000000077359dec/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i1&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/9270e6/000000000000000077359dec/30/d4ddc	(from https://use.typekit.net/njp4uhl.css)
